ccode,country_name,region_name
862,Venezuela,South_America
704,Vietnam,Southeast_Asia
92,British_Virgin_Islands,Caribbean_Central_America
850,US_Virgin_Islands,Caribbean_Central_America
876,no_match,Oceania
732,no_match,Africa
887,Yemen,Middle_East
894,Zambia,Africa
716,Zimbabwe,Africa
652,no_match,Caribbean_Central_America
663,no_match,Caribbean_Central_America
902,United_States_of_America,North_America
903,United_States_of_America,North_America
904,United_States_of_America,North_America
531,no_match,Caribbean_Central_America
534,no_match,Caribbean_Central_America
3000,Kosovo,Europe
728,South_Sudan,Africa
